code,system,display,definition,synonym
EC-3,ayurveda,Jwara,Abnormal elevation of body temperature indicating illness.,Fever
EC-3.2,ayurveda,Vataja Jwara,"Fever with chills and body aches, Vata-dominant pattern.",Vata-type Fever
EC-3.3,ayurveda,Pittaja Jwara,"High fever with flushing and burning, Pitta-dominant.",Pitta-type Fever
EC-3.4,ayurveda,Kaphaja Jwara,"Mild fever with heaviness and catarrh, Kapha-dominant.",Kapha-type Fever
EC-3.8,ayurveda,Sannipataja Jwara,Severe fever involving all three doshas.,Tridoshic Fever
EC-3.8.25,ayurveda,Visama Jwara,Periodic fever with symptom-free intervals.,Intermittent Fever
EC-3.8.24,ayurveda,Aupasargika Jwara,Fever due to contagious/infectious causes.,Infective Fever
EA-3,ayurveda,Kasa,Forceful expulsion of air to clear airways (cough).,Cough
EA-3.2,ayurveda,Vataja Kasa,"Dry, spasmodic cough dominated by Vata.",Vata-type Cough
EA-3.3,ayurveda,Pittaja Kasa,"Irritative cough with heat/burning, Pitta-dominant.",Pitta-type Cough
EA-3.4,ayurveda,Kaphaja Kasa,"Productive cough with mucus, Kapha-dominant.",Kapha-type Cough
EA-3.5,ayurveda,Ksataja Kasa,Cough following chest injury or lung trauma.,Traumatic Cough
EA-3.6,ayurveda,Ksayaja Kasa,Chronic cough associated with emaciation.,Wasting-related Cough
EA-4,ayurveda,Svasa,Breathlessness or difficulty breathing.,Dyspnoea
EA-4.5,ayurveda,Tamaka Svasa,Chronic inflammatory airway disease with episodic wheeze.,Asthma
EA-4.6,ayurveda,Ksudra Svasa,Transient exertional shortness of breath.,Mild Dyspnoea
EA-4.2,ayurveda,Maha Svasa,"Grave breathing difficulty, often orthopnea-like.",Severe Dyspnoea
EA-4.3,ayurveda,Urdhva Svasa,Breathing out is especially difficult; wheeze.,Expiratory Dyspnoea
EA-4.4,ayurveda,Chinna Svasa,Broken/irregular respiratory pattern.,Interrupted Breathing
I-1,ayurveda,Pratishyaya,Inflammation of nasal mucosa with sneezing/runny nose.,Rhinitis
I-1.x,ayurveda,Dushta Pratishyaya,Chronic sinus inflammation with congestion/discharge.,Chronic Sinusitis
I-1.sub,ayurveda,Pinasa,Long-standing nasal catarrh with mucus.,Chronic Rhinitis
EA-5,ayurveda,Svarabheda,Altered voice quality (dysphonia/hoarseness).,Hoarseness
EB-3,ayurveda,Ajirna,Upper abdominal discomfort after meals.,Indigestion (Dyspepsia)
DB-1,ayurveda,Agnimandya,Reduced digestive capacity and appetite.,Weak Digestion
EB-5,ayurveda,Aruci,Persistent lack of desire to eat.,Loss of Appetite
EB-2.15,ayurveda,Alasaka,Severe gut dysmotility with obstruction-like features.,Intestinal Atony/Ileus
EB-3.7,ayurveda,Visuchika,Acute vomiting and diarrhea (foodborne infection).,Acute Gastroenteritis
EB-2,ayurveda,Atisara,Frequent loose watery stools.,Diarrhoea
EB-2.13,ayurveda,Pravahika,Bloody mucoid diarrhea with tenesmus.,Dysentery
EB-7,ayurveda,Grahani,Chronic malabsorption with weight loss/diarrhea.,Malabsorption Syndrome
AAB-17,ayurveda,Udavarta,Upward movement of gas/contents; belching/bloating.,Reverse Peristalsis
EB-4,ayurveda,Amlapitta,Acid reflux with heartburn and sour belching.,GERD/Acid Dyspepsia
EA-2,ayurveda,Hikka,Involuntary diaphragmatic spasms (singultus).,Hiccup
EB-10,ayurveda,Shula,Severe spasmodic abdominal pain.,Colic/Abdominal Pain
EB-10.16,ayurveda,Parinama Shula,Post-digestive epigastric pain typical of duodenal ulcer.,Duodenal Ulcer Pain
EK-4,ayurveda,Gulma,Palpable intra-abdominal lump/mass.,Abdominal Mass
EK-*,ayurveda,Udara Roga,Group of disorders with abdominal distension.,Abdominal Disorders
EK-*,ayurveda,Jalodara,Fluid accumulation in the peritoneal cavity.,Ascites
ED-12,ayurveda,Plihodara,Enlarged spleen causing abdominal fullness.,Splenomegaly
ED-12.5,ayurveda,Yakrtodara,Enlarged liver causing RUQ fullness.,Hepatomegaly
EC-5,ayurveda,Pandu,Pallor and fatigue due to low haemoglobin/iron.,Iron Deficiency Anaemia
EC-*,ayurveda,Kamala,Yellow skin/eyes due to hyperbilirubinaemia.,Jaundice
ED-7,ayurveda,Raktapitta,Spontaneous bleeding from multiple sites.,Bleeding Disorder
EK-3,ayurveda,Shotha,Swelling due to fluid accumulation.,Oedema
ED-9,ayurveda,Vidradhi,Localized pus collection causing painful swelling.,Abscess
EE-4,ayurveda,Granthi,Encapsulated benign nodule/cyst.,Benign Cystic Swelling
EE-2,ayurveda,Arbuda,Abnormally growing mass; often malignant.,Tumor/Neoplasm
ED-13,ayurveda,Slipada,Chronic lymphedema due to filariasis.,Elephantiasis
ED-4,ayurveda,Kustha,Chronic dermatoses; historically includes leprosy.,Leprosy / Skin Disorders
ED-4.4,ayurveda,Mahakustha,Severe multibacillary leprosy forms.,Major Leprosy
ED-4.3,ayurveda,Ksudra Kustha,Milder/localized dermatoses.,Minor Skin Disorders
ED-5,ayurveda,Svitra,Acquired depigmentation causing white patches.,Vitiligo
ED-4.3.3,ayurveda,Kitibha,Chronic scaly erythematous plaques.,Psoriasis
ED-4.3.6,ayurveda,Dadru,Superficial fungal ringworm infection.,Dermatophytosis (Tinea)
ED-4.3.8,ayurveda,Pama,Mite infestation with intense itching.,Scabies
ED-2.2,ayurveda,Kandu,Generalized itching sensation.,Pruritus
ED-4.3.7,ayurveda,Carmadala,Transient itchy wheals due to hypersensitivity.,Urticaria (Hives)
ED-6,ayurveda,Masurika,"Febrile vesicular exanthem (e.g., varicella).",Pox-like Eruptions
ED-2.9,ayurveda,Pidaka,Painful pus-filled skin lesions from follicles.,Boils/Furuncles
H-*,ayurveda,Netra Abhishyanda,Inflammation of conjunctiva with redness/discharge.,Conjunctivitis
H-*.v,ayurveda,Vataja Abhishyanda,Dry painful conjunctivitis pattern.,Vata-type Conjunctivitis
H-*.p,ayurveda,Pittaja Abhishyanda,Hot inflamed conjunctivitis with yellow discharge.,Pitta-type Conjunctivitis
H-*.k,ayurveda,Kaphaja Abhishyanda,Mucoid allergic-type conjunctivitis.,Kapha-type Conjunctivitis
H-*.s,ayurveda,Sannipata Abhishyanda,Severe mixed-feature conjunctival inflammation.,Mixed Conjunctivitis
HG-1,ayurveda,Adhimantha,"Severe eye pain, redness, vision loss—ocular emergency.",Acute Angle-closure Glaucoma (like)
HG-1.*,ayurveda,Timira,Blurred vision; early opacity or myopia.,Refractive Error / Early Cataract
HG-1.sub,ayurveda,Kaca,Partial lens opacity with cloudy vision.,Early Cataract
HG-1.11,ayurveda,Linganasha,Loss of sight due to mature cataract/other causes.,Blindness (Advanced Cataract)
ED-2.8,ayurveda,Anidra,Difficulty initiating/maintaining sleep.,Insomnia
ED-2.8,ayurveda,Nidranasha,Disordered sleep quantity/quality.,Sleep Disturbance
EI-2,ayurveda,Klaibya,Inability to maintain erection sufficient for intercourse.,Erectile Dysfunction
EI-2.7.4,ayurveda,Shukra Kshaya,Low sperm count leading to subfertility.,Oligospermia
EF-2.2.6,ayurveda,Shukrameha,Involuntary seminal discharge.,Spermatorrhea
CA-*,ayurveda,Mutrakricchra,Painful or difficult urination.,Dysuria
CA-*.v,ayurveda,Vatika Mutrakricchra,Spasmodic obstructive painful urination.,Vata-type Dysuria
CA-*.p,ayurveda,Pittaja Mutrakricchra,Burning micturition with inflammation.,Pitta-type Dysuria
CA-*.k,ayurveda,Kaphaja Mutrakricchra,Mucoid turbid urine with heaviness.,Kapha-type Dysuria
CA-*.s,ayurveda,Sannipata Mutrakricchra,Severe mixed-feature dysuria.,Mixed-type Dysuria
EF-2,ayurveda,Prameha,Group of disorders with excessive urination and dysmetabolism.,Polyuria/Metabolic Syndrome
EF-2.4.4,ayurveda,Madhumeha,Metabolic disease with hyperglycaemia and glycosuria.,Type 2 Diabetes Mellitus
EF-3,ayurveda,Sthaulya,Excess adiposity with metabolic risk.,Obesity
EF-3,ayurveda,Medoroga,Disorder of fat metabolism with high lipids.,Dyslipidaemia/Adiposity
(None),ayurveda,Karshya,Malnutrition with low body weight and wasting.,Underweight/Emaciation
BI,ayurveda,Rajayakshma,"Chronic wasting respiratory TB with cough, fever, weight loss.",Pulmonary Tuberculosis
(None),ayurveda,Ksaya Roga,Progressive loss of weight and muscle due to chronic disease.,Cachexia (Wasting)
AAB-18,ayurveda,Katigraha,Lumbosacral pain and stiffness.,Low Back Pain
AAC-32,ayurveda,Manyastambha,Painful neck stiffness due to spasm/degeneration.,Torticollis/Cervical Spondylosis
AAB-33,ayurveda,Visvachi,Neck-to-arm radiating neuropathic pain.,Cervico-brachial Neuralgia
AAC-8,ayurveda,Avabahuka,Adhesive capsulitis with restricted shoulder movement.,Frozen Shoulder
AAE-16,ayurveda,Sandhivata,Degenerative joint disease with pain and stiffness.,Osteoarthritis
EC-6,ayurveda,Amavata,Inflammatory polyarthritis resembling rheumatoid arthritis.,Rheumatoid Arthritis-like
ED-8,ayurveda,Vatarakta,Acute red painful swelling of joints due to urate deposition.,Gout-like Arthritis
AAB-37,ayurveda,Gridhrasi,Low back to leg radiating sciatic nerve pain.,Sciatica
